pmkSong,fnkArtist,fldTerms,fldTitle,fldYear
SOENIVE12AB0187ACE,AR0DSOO1187B9B855E,roots reggae,I Am a Rasta Man,0
SOFRPPE12A6D4FAB3E,AROPZYT11F4C83EFFA,lovers rock,Dub It,0
SOGJVNZ12AB0185170,ARJPUZC1187B99A8F6,roots reggae,Woman of Shiloh,0
SOCLCWX12A8C133EC0,AR1DR0E1187FB48F61,bluegrass,The Southern Soldier Boy,1991
SOHEGVA12A8C13D81C,ARA2ZTN1187B98E3ED,math rock,Bon Demain,0
SOIVCUR12AB018E3A2,ARCDLDD11F33E000A4,electroclash,Zurezko Olerkia,0
SOUATZO12AAF3B23A7,ARBFDJW1187B9AD27A,blues-rock,When I Get Home,1991
SOOCZVQ12A8C13C7CE,ARR575U1187B98FB97,christian music,He's Leading The Way,0
SOSKOHU12AB0184001,AROCBZZ11E2835D652,rock 'n roll,It's Too Late,1966
SOKLPTD12AC4688044,ARC5Q0L1187B98D463,celtic rock,Widow's Walk,1999
SOPLOFR12AB01819B3,ARUEYGC1187FB3D94B,disco,Love Of My Life,0
SOCNFBN12AF72A23AA,ARYF20K1187B9B76BD,california,Memories,2001
SOFLOGZ12A8C13C69F,ARV21JS1187B99E516,rock steady,It All Depends On You,1995
SOCSXBH12A58A78109,ARH9GD41187FB37E0F,roots reggae,The Traffic Jam,2006
SOXCEGC12AB018A0BD,ARGXJRQ1241B9C5FDE,cabaret,Beautiful When You're Green,0
SOVMWTZ12A8C136E39,AR8J63I119B8668504,death core,Rock Biter (Album Version),2008
SOPWMAU12AB017A832,ARCCRTI11F4C845308,ccm,Edge Of The Dream (Emergency Broadcast Album Version),0
SOVLTPF12AC46866D7,AR1JGQT1187FB56878,bluegrass,Broken Hearted Side Of New Orleans,0
SOUDAHM12A58A7B19A,ARQ30G91187B9B8C12,hip hop,Hot Spot (Terrible Love Mix),2003
SOYTXMF12AB0179B2C,ARPTC8L119B340323E,country,If We Loved,2008
SOANXGF12A8C143736,ARNNHLN1187FB42912,brutal death metal,Pasa el tiempo,0
SORVORU12AB0183685,AR7358P1187B9B6880,broken beat,Dial Me,0
SOBIJGQ12A8C131C8F,ARZBYDY1187FB46DD7,dance pop,Resistance,2008
SOLSRIT12A58A79324,ARWBAI21187B991E2E,rockabilly,Sing Boy Sing,0
SOYNBBT12A8AE46457,AR65K7A1187FB4DAA4,hip hop,Irreplaceable (Irreemplazable),2007
SOIOWYG12AB018751B,AR4QYVC1187B99985B,trip hop,Shadows,2004
SOGQPOB12AB0183756,ARK6JC91187B9B4B2D,ccm,Isn't That Just Like God (Medium Key Performance Track Without Background Vocals),0
SOCMXGV12A6D4F855E,ARD0S291187B9B7BF5,breakbeat,Shoulda Did,0
SOPPIJK12A8C13EAC5,ARUUP4L1187B9B72EB,no wave,Vena Cava 8,1993
SOYGIBP12A67020AF7,ARTDQRC1187FB4EFD4,hip hop,Magic,2000
SOKJCDI12A81C22EB0,ARVUN5F1187FB4CCC7,dancehall,Imagination,2006
SOTAEIP12A6D4F76A5,ARJTX7M1187FB4CED3,art rock,Between The Worlds,1975
SOJDIAU12AB018236E,ARJJKAA1187B9ADAF1,soundtrack,A Night at Mahmoud's,0
SOYQZID12A8AE48BDA,ARDC3571187B9988E1,hard house,Sprung (Cibola Mix W/ Rap),0
SOCYCRH12A6D4FD333,AR1X2H01187B98CCF2,chanson,La Romance De La Pluie,2000
SOTENDL12A8C134BD1,ARAUQAL1187FB5B374,ccm,Spoken Words by Bishop Joseph Garlington,0
SOJRUHL12A813557F6,AR65OLD1187FB5C103,alternative metal,Ya Mama (Palm Springs Demo),0
SOKYUHC12A58A79AD3,ARZJ4MI1187B9AF5AF,ska punk,Veronica Sawyer (Album),0
SORCHVC12A6D4F7651,ARTO9UO1187B9B2D47,hard house,Faith,0
SOCRBAD12AB0186467,ARYDFJA1241B9CBFF2,chanson,Chanson De La Patience,0
SOSFYFN12AB017AB81,ARI6CSW1187B9AF09A,pop rap,Et kA1/4tt wie et kA1/4tt,2007
SOQVLPI12AB017F740,ARCNOK81187B98CA3F,roots reggae,Searching,1993
SOCWFQT12AB0188AA1,ARYDFJA1241B9CBFF2,chanson,Le Dormeur du Val,0
SOAWDUO12AB0182450,ARBXBQR1187FB56FA5,chamber jazz,Sapphire,1993
SOYVXRJ12AB017CDD6,AR65K7A1187FB4DAA4,hip hop,Ring The Alarm,2006
SOFKWBH12A6D4F584E,ARCLJQZ11E2835CE37,blues-rock,Ouachita Run (Album Version),1998
SOQDBNE12AB01852A7,ARYBUAO1187FB3F4EB,chicago soul,Rainbow '65 (part 2) - Live,0
SOCJQVA12A8C1388DD,AR2FJV21187B98EBE3,country gospel,The Blood Covers It All (Live),0
SOWVZIQ12A8C1433C9,AR7KA5V1187FB44E6B,bluegrass,Led By the Master's Hand,2006
SOGEGWE12A8C13E6F0,AROGWRA122988FEE45,pop rock,Kenourgia Fotia,0
SOXMCZC12A8C13402A,AROBQ0B1187FB404F6,northern soul,Moonlight In Vermont,0
SOOEQOD12AB018D7D3,ARAUFKZ1242077FBD1,jungle music,Now U Got It,0
SOMPBTH12A8AE48A8B,ARY7ERS1187B9903AE,hard trance,I've never been so Lonely,0
SOAKZHG12A8AE47669,ARYJ6RP1187B9B3827,ccm,I Love You (LP Version),0
SOQFVIO12AB018BA75,ARPINYO12454A2E4AB,straight edge,Decline Of the Western Civilization,0
SOFVXQF12A6D4F82F2,AR1PRQ21187FB3B481,punk,Dancing With Myself (BBC In Concert 01/01/81),0
SOUNPTA12AB0183132,ARZFRQM1187B9A9772,chill-out,Evening,1996
SOMUJKH12AB01842E2,ARQIAEA1187FB4F9F9,tech house,Hey!,0
SOZHDIA12A58A80F93,ARNZ70R1187B9A4824,instrumental rock,Midnight,1987
SOJMLXA12A8C12FB20,AROY6XW1187B991121,instrumental rock,Brother,1996
SOUFLXO12A6701DD54,ARJ2PMY1187FB5B563,roots reggae,Civilized Reggae,1980
SOGNDRY12AC9075738,ARJB9TE1187FB3A9F8,protopunk,What Is A Woman For? (BBC In Concert),0
SOODPLC12AB0182FDE,ARW70HR1187B9A358C,merengue,Otra Parte De Mi (1997 Digital Remaster),0
SOTJEIC12A8C139054,AR0OTEX1187FB3600D,dance pop,Macarena,1993
SOJGPVN12A8C136BCF,ARDUOSV1187B9894D5,ccm,Cover To Cover,0
SOMWQZF12A8C13C27E,ARVYDAQ1187FB43338,humppa,KesA$?ilta Saimaalla,0
SONJBDA12AB0183CFD,ARKEFM61187B9A8202,western swing,What's The Matter With The Mill,0
SOXYLNP12A58A77347,AR1WC0X1187B991056,hard rock,Let me fly,1999
SOPMACA12AB018B52A,ARUZD301187FB4AC65,stand-up comedy,En fet man,0
SOYPQHV12A67ADF698,ARJ9DSA1187B990E00,blues-rock,Now I Got A Woman,2007
SOSNIRJ12A6D4FA0BD,AR56P361187B9AC4DB,blues-rock,Nothing's The Same,1992
SOVYKHK12AC3DF4D3A,ARQXAGC12472CE2BBD,indie rock,Stolen Pills,2009
SODYLAQ12AB0181CDC,ARUVPCM1187FB5C281,screamo,Outro,0
SOAXKSW12A8C13E7FA,ARGMGHN1187B9B4213,hip hop,Sloppy Love Jingle_ Pt. 3 (Amended Album Version),2006
SOSNQCC12AB0185B62,AR2SMD91187B9B0582,ska punk,Patricia,1989
SOLIXBU12AB018C389,ARDXGVT124207832C0,,A Dustland Fairytale,0
SOBYHTZ12A8C13363C,ARKVMRR122CC3B110A,country gospel,Through The Eyes Of Faith,0
SOIJQYA12A8C1375EF,ARIHWZG11F50C50E1C,meditation,Loves Parting,0
SOZOIKO12A8C133726,ARZEBW31187FB586EA,trip hop,Still Lost in the Forest,2000
SOAFZRZ12A58A7AF39,ARGHV4C1187B995847,country rock,So Many Roads,0
SOQGFVA12A8C13AE87,ARXPPEY1187FB51DF4,motown,We're Almost There,1975
SOIVRUS12A8C133164,AR8IEZO1187B99055E,soundtrack,Blame Canada ( From: South Park ),2008
SOBXGEP12AB018E2CA,AR966X21187B9AC463,singer-songwriter,A Different Kind of Love,0
SOSDZUS12A8C13AE10,ARCF06I1187B995398,trip hop,B-Boy Stance,2004
SOYCYFG12A81C22BA1,ARWBN9B1187B988B95,free jazz,Unfinished Self-Portrait,1993
SOOSJQN12AB017E4CF,ARWBZWU1187B98F7FB,jazz fusion,Lifeboat Serenade,2008
SOEIJKO12AB0181BE2,AR5ZY7R1187B996302,samba,Christmas Time,0
SOSCHDW12A8C130FD7,AR40GSU1187FB3AA01,soft rock,Song Sung Blue,1972
SORSJPQ12A8C13875A,AR0V36F1187FB366B1,irish folk,CAonla/The Friar's Breeches,1992
SOJMXXW12A6D4F9DB3,ARB1CNO1187FB4CE93,deathrock,Party Time,1989
SOJDXYE12A8C132D5B,ARWIMT21187B9B5AEC,jump blues,Mean And Evil Blues,0
SOTNYEO12A6D4F98C3,AR58SJE1187B9A8E4C,chicago blues,I Feel So Good,1995
SOOPAKJ12AB018AE9F,ARLCEUJ11F4C842D6A,rock 'n roll,I Need You,0
SOASRYN12A8C139FA4,ARCVMYS12454A51E6E,patriotic,Navy hymn,0
SOVSKKV12AB018AB65,ARKCYJV1187FB392E9,pop punk,We Do It For the Money_ OBVIOUSLY! (Demo),0
SOUROPB12A6D4FAC51,ARYKCQI1187FB3B18F,hard rock,Gettin' Better,1986
SODHPGT12A6D4F781D,AR0B1CH1187FB3A824,rockabilly,You Don't Know Me,1997
SOVKUWM12AC9097662,ARBKEA91187B98CE1F,alternative rock,Warm Spring Night,0
SOCXOGU12A8C1327B3,ARPKK761187FB4D53C,pop punk,The Hero Dies in This One,2003
SOTMIYY12AAA15FAF8,AR5AXVN1187B9A2761,folk rock,Newborn Blessing (World),0
SOQPENF12A8C13D7D8,ARR2TI31187FB380FE,twee pop,Below The Stars,1990
SOUDJJH12A8AE4729A,ARZY28S1187FB40BAB,new beat,Dab_dab_doo-Party In The Jungle,0
SOOYXSC12A8AE47FDF,ARNILB71187B99EC88,hard bop,Plexis,0
SOJEOUG12AB018A5D5,ARCQ3LZ1187FB49B42,zouk,Papito Charme,0
SOQOHSQ12A6D4F80D5,ARCCRTI11F4C845308,ccm,Sing Your Freedom,0
SORUKWD12AB018C0CE,ARHINI31187B995C1D,dancehall,All They Want,0
SOEOYVV12AB018E429,ARCOAC111C8A417478,black metal,Sparnuotoji Doze. Laukimas,0
SOGRKPG12A58A7ADF7,ARFCUN31187B9AD578,blues,Around And Around,1964
SOUVSFU12A8C139963,ARYN80Y1187FB49F36,afrobeat,NY Timbuctu,0
SODTEEH12A8C133B01,AR05NQH1187B98E875,zouk,Loko,2000
SOVAIXB12A8C132657,ARSG7NQ1187FB57482,pop punk,Dance_ Dance,2008
SOKSUYL12A6D4F8B74,ARAZCWP129462A97F1,reggae,Cry On (Acoustic Demo),0
SOCGAOT12A8C138D1C,ARTO6KU1187B99910C,chanson,Le chanteur malheureux,1994
SOWBVJL12A8AE4720C,ARTWPGO1187FB52DC3,dancehall,Bruk Out and Wine,0
SOFTSMC12AB017C6BD,ARZDYBC1187B9A3142,roots rock,Let It Be,0
SOMSXGC12A6D4F962D,AR3AY3R1187FB52CF0,honky tonk,Walkin' In,0
SOEFQLO12A8C1362CE,ARQ4OZM1187B991229,chanson,Viens Danser Jeannette,0
SOGKRNP12A81C20860,AR2K2CM1187B98D4F1,celtic,No me imagino,2005
SOEIYJP12A8C143639,ARGJ0911187FB4613F,dance pop,It Ain't The Meat It's The Motion (LP Version),0
SOKTRGB12CF533CFBD,ARB054P1187B9AD32E,blues-rock,Acapulco Sunrise,0
SOEVJRN12A8C135403,ARY0XD81187FB5CF38,eurodance,Iki Tas Corba,0
SOAVMSM12AB017CC5C,AR3GE071187B9A6D71,meditation,Guayabera,2003
SOYFZYP12A8C1367D5,ARF3PG41187FB4B0B4,blues,Packing Up,0
SOJZZVE12A58A7999D,ARPVFV91187B98BB94,post-grunge,Mirror (Album),2006
SOLPWYZ12A8C1335B0,ARIWQYF11F4C8427FF,latin jazz,Donde,0
SOEWHWK12A8C14264E,AR243ZT1187B9A98D2,piano blues,Must Have Been The Devil,1990
SOITKDW12A8C13BA44,ARH0Z131187B9B69E9,hip hop,I Go To Work,1989
SOHMZNL12A58A8001A,AR0BV7E1187FB386C1,instrumental pop,Is It You?,1979
SOHLICT12A8C13C8C7,AR5NDDL1187B9A4EDB,jump blues,Bottle It Up And Go,1992
SOXODEF12A8C13B056,ARXRK5A1187FB3EAC6,latin pop,El Momento,2001
SOMEKAE12AB0181461,ARBPRTL11F4C83CB05,classic country,My Saviour Is Lord,0
SOQYWPI12AB017DA10,ARUHYH21187B98BA89,roots rock,Country Day,2009
SOBSEXG12AB0180DD4,ARX4D1E1187B9A9C4D,ccm,Let The Church Rise,0
SOXLNHY12AC4688B63,ARO89GU1187B98ADA2,pop folk,Nema Dana Ni Meseca,0
SOYDTFR12AB017CADA,AREJXK41187B9A4ACC,chanson,Cantares,0
SOLKCPC12AB018297F,ARG1UAO1187FB55E50,cantonese pop,Sa La Re Wo Di Luo Mi Qu Yu Zhu Li Ye,0
SOTCYJJ12A8AE48915,ARON0YP1187FB4B465,chinese music,Why,0
SOCCWHX12A8C135B2B,ARXBPW31187FB4D335,noise rock,Helium,2004
SOMCLCK12A8C13B918,ARTOC971187FB37592,stoner metal,Poison Lips,2004
SOWSEKT12AB0187166,ARP4QQS1187B998E46,dubstep,I Need To Talk To Hank Hank,0
SOIDEVL12A8C135667,ARAZF6G1187FB5A0C1,chanson,Soldats Ne Tirez Pas,1989
SOXVRIV12AC468E055,ARIOSKN1257509BCE1,los angeles,Walk With You,2009
SOCYTYU12A8C13EA94,AR1Y0N71187FB43209,tech house,Robot Kid,0
SOQYYZH12A6701DB2C,ARNITNO1187FB555D3,latin jazz,Almendra,1997
SOBPTJJ12A8C1347B4,ARR6VH41187FB46862,deep house,Mikawa Miya,2006
SOEGBQC12AB0182B45,ARPZIIA1187FB4CB9F,dark ambient,Dat Dere,0
SOQQWKC12A8C1449FB,ARRPFCU1187FB5402E,los angeles,Rue de Nantes,2006
SOPVFIS12AB01815BD,ARA8DDQ1187B9AE3A0,cantonese pop,Ren Lai Ren Wang,0
SOBVEMI12A8C1403BE,ARBFDJW1187B9AD27A,blues-rock,Please Don't Lie To Me,1996
SOHDWVO12A8C13E740,AR7XK9K1187B9B1864,stoner metal,45 Pounds,2007
SOINJHA12A8C134C60,AROSW2I1187FB44866,salsa,Chela,1999
SOQNNUY12A58A7CCEB,ARHT0B11187B993CB3,zydeco,I Know That Car,0
SONUMYT12A8AE47DEE,ARB5TJM1187B9A71FD,heavy metal,Kitteldags,2001
SOMSKEY12AC468E52C,AR202MX1187B9B0383,dancehall,The Story (get It On),0
SOKOMCI12A8C13D445,ARMPQIE1187FB3D4EB,dancehall,Coppershot,2001
SODTYAJ12A8C137FDC,AREV2491187B9B017E,gangster rap,Dump,2004
SOMOMXN12AB018AB6B,ARPOPBQ11F4C83D36D,chicago house,Like It's Hot,0
SOMHXPQ12A81C22892,ARWX7AO1187B9B91AA,latin pop,El Amor,1979
SODYZLC12A6D4F7BD3,ARC1E3F1187B9B9902,tango,Negocio Prohibido,0
SOJEJNX12A8AE49441,ARNTQF31187B9A02FF,reggaeton,Dutty Wine,2006
SOJYPGP12AC960DE2A,ARF6ZTO1187FB3684F,screamo,Won Threw Ate,2010
SOUTSFS12AB018A18A,AREYIHC1187B99CE0B,bossa nova,Baby,0
SOJHXCE12A8C139B1E,ARUACR61187FB3AB37,soft rock,Why?,1998
SOGYXBI12AB0188309,ARQPWTM12420783719,pop folk,Sizofrenija(duet Ana Nikolic&Aca Lukas),0
SOGVLDM12AB017F0A2,ARUBX2Y1187B99CD25,lovers rock,Happiness Is Loving You,0
SOTWISY12A8C1431B6,ARQUFQK11F4C83C0D8,oi,Bread Or Blood (Single),0
SOBEZJB12A6D4FBA4A,AR7BMMV1187FB5B2D7,blues-rock,The Champ,1997
SOAXZLM12A6D4F7A95,ARCCRTI11F4C845308,ccm,Hold On,0
SOXBRRT12A6D4FADBE,AR4GJ3V1187FB4245B,funk,Rock Star (LP Version),0
SOCLFNX12A8C144A03,AR061J011A348F060F,nu jazz,Mediocre (Version original),0
SOYZFQG12AB0180D6F,ARBCUNV1187B98A9FB,hip hop,Taste It,2002
SOWKNGW12A6D4F78BD,ARZH0R61187FB422AE,northern soul,You've Lost That Lovin' Feelin',1992
SOUEIEK12AAF3B50EE,AR1IL0W1187FB58B65,rock,Einfach,0
SOWKPHR12A6D4FAC63,AR2EBRG1187B9B07C8,sympho black metal,Towards Eternity,1998
SONAEER12A67020459,ARE8GLF1187FB52532,rap rock,Emit Remmus (Album Version),1999
SOUSWBE12A679AE573,AR6I54S1187FB48C6B,folk-pop,Moses,1996
SOUIJEE12A81C21173,AR2EHC11187B9AD895,heavy metal,Infernal Calling,2006
SOGXKOP12A58A7FA1C,ARFEV5S1187B99F2EA,meditation,For Your Passion My Love,2007
SOHUJGR12AB01806C8,ARGCEOR1187B9A4E7D,smooth jazz,ValA(c)rie,0
SOBYGMR12A8C136231,ARIKE5O1187B997E73,gospel,Having You There,0
SOPIBKO12AB0183ECD,ARUG0QH1187B99613A,new beat,Awake IV,0
SOSUDUZ12AB017D1A1,ART59BB1187FB3866E,death core,Outro,2005
SOLCIRZ12AB0182DA4,ARRHVVL1187B991E41,jump blues,Lovers Lane Boogie,0
SOFNOOH12A8C13FD69,ARGJL42119B8668D26,indie rock,Naming Ceremony,2008
SOPNPLN12AC3DFA507,ARW4AGO1187FB4F107,chicago blues,Gillum Blues,0
SOFHDYS12AB0184708,ARTQZKW11EB9C80B4C,folk-pop,Goodfellas,0
SOZFVSE12A8C13C1C7,AROLWYT1187B990823,breakbeat,Ala Kaboo (Idjut Boy's H-Bar Mix),0
SOJFWTK12A813565DC,ARSYWV7119B3403694,space age pop,Oceans Of Love (LP Version),0
SOOBSJA12AAA8C7724,ARVTWQ11187B9A6A24,soundtrack,Jack and Benton,2008
SONBXKE12A81C209B1,ARKWXGS11F4C8419B7,requiem,Nivel De Mafia,0
SOQKZSN12A58A7BB72,ARRXPRY1187B9A8B34,gaita,Hechizo,0
SOIJEWM12A67ADA08D,ARMRCET1187FB52049,pop rap,London Bridge,0
SOUAGDY12A6D4F63CF,ARUGU0E1187B9B30F6,classic rock,Strange Days ( LP Version ),1967
SOXNSSY12A6D4F9728,AROLNOH1187FB39845,hip hop,Safe Sex,1993
SOHZWRJ12A8C14081B,AR558FS1187FB45658,nu metal,A Part Of Me,2003
SOOACXX12AB017C8E6,ARHHO3O1187B989413,chanson,Guarda Che Luna,0
SOLGYJO12A6BD55664,ARG51IA1187B9B143A,contemporary classical music,Space Station Liberty,2007
SOUHWTC12AAF3B419A,ARYFXQ21187FB4DAEF,latin jazz,Manteca,1987
SOMNYHU12A8C142FB5,ARVG8T61187FB440EB,soft rock,Tell Jesus [To Come To My House],0
SOPGMLA12A6D4F4BDF,ARWJHW61187B98FA8E,soukous,Zero,1992
SOUHUYT12A67021546,ARO344A1187B9B65C3,modern rock,He's Alright (Album Version),0
SOJQOCV12AB0183CEA,AREJ5K11187B993F5F,chamber jazz,In A Distant Place (World),0
SOSLDUO12A8C13F7E0,ARZH3SW1187B98C96E,hip hop,Wet The Club,2002
SOESXET12A8C13DFA0,AR7C6G11187B9B4C1E,dance pop,Por Arriesgarnos,2007
SONRFCO12AC3DF6AFB,ARZIKR01187B98DF08,heartland rock,A Fool's Advice,0
SOXVEFH12AB0187A2C,ARNUFGE1187B9B7881,doo-wop,One Fine Day,1963
SOHCAJI12AB017EF9A,AREQ9AY1187FB40E19,happy hardcore,Tanzen,0
SOXCDGN12A8C140A48,ARKKPRW1187FB4D81E,black metal,Prolog auf Erden,0
SOJLKPC12A8C13A3A7,ARRWAD71187FB3FE44,folk-pop,Who Was I Kidding,2005
SOJDHGS12A6310D85E,ARFCUN31187B9AD578,blues,Rocks Off,1972
SOQJDZH12A67AE0CBF,AR21YNH1187FB49649,grime,Unbreakable,2005
SOPNKLV12AB018B51E,ARUZD301187FB4AC65,stand-up comedy,SpritlAY=ten,0
SOQZLAF12A8AE48030,ARZ33PH1187FB52F58,dance pop,Run The Show featuring Don Omar [en Espanol],0
SOQHUQW12AB0189F4A,ARROUEA1187FB4AA0F,tech house,Strikes-3,0
SOEGFSO12AB01846B9,ARRFTTO1241B9C8C96,ghetto tech,Watermelon Man (What A Mellow Goy),0
SOSCFFU12A8C134C67,ARTBFV61187FB3C250,country rock,Got The Bull By The Horns,1996
SOADTWR12A8C136DB5,AR2XI6G1187B9AE7DA,gangster rap,Words With Fat Joe,0
SOHESPW12AB0184D99,ARMAOIY1187B9A3893,chinese music,Pei Chen Pin,0
SORSVFU12A6D4FA6DD,ARHONG11187FB3B120,heavy metal,Some Lie For Love,1992
SOROHXN12AB018704F,ARAVEKH1269FCD294D,thrash core,Lifewalk,0
SOHTPZM12A6D4F8716,ARMTIIX1187B9A1896,bhangra,Vaisakhi Wala Mela,0
SOCNJIB12A58A7899B,AR8ACFK1187B9B4063,piano blues,No Meat Blues,0
SOWHBYK12A6D4F7925,ARDCFNZ1187FB3DDB0,dance pop,Si Juras Regresar,1995
SOLMOSX12AB01878CE,AR5LZJD1187FB4C5E5,ccm,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals),0
SOOIETN12A8C13E1AD,ARBV8MP1187B9B60B1,oldies,LentA$?vA$? kalakukko,1990
SOTQMEG12A58A7B8BC,ARCP8YG1187B997D72,new age,Sidney Gorgeous,0
SOKHOUY12A8C1358E0,AREENKN1187B98F35D,trip hop,Summer Nite,1981
SOAKDOC12A8C13B1A9,ARGUACZ1187FB3F35C,country gospel,If I Talk To Him,2001
SOXXWIL12AB0182D64,AR6137D1187B9A39C8,grindcore,Protagonist (Album Version),0
SORJNBB12A8C14156E,ARDGBFI1269FCD6AA6,swamp rock,Willie And The Pig,1971
SOWJXCF12A8C13608D,ARFRSQZ122988EF860,country gospel,Because He Loves Me,0
SOIZXEV12A8C13086A,AR2OH7O1187B99FE4E,meditation,Black and Blue,2006
SOYQLYM12AB018C099,ARG03XQ1187B99A494,rock steady,A True Friend,0
SOBIZOU12AF729E8CA,ARNXNH81187FB52EB5,pop rap,Changed My Life,2003
SOXMPLR12A8C134ED0,ARGABPJ1187B99C6E3,jazz rap,Give It To 'Em,0
SOPFUID12AB018A8F9,ARB1KC91187FB38B13,honky tonk,Loose Talk,1990
SOKSSEC12AF72A3D89,ARZWK2R1187B98F09F,hardcore punk,Intro/Chamber The Cartridge,2006
SOBOCZJ12A8C13F619,ARZWAHK119B8668273,blackened death metal,Blank Eye Stare,2006
SOSAUKQ12A8C13CEED,ARPTC441187FB3AEBF,ballad,Laula kanssain,1977
SOGVORW12A8C13C6E5,AR0QS8F1187B9ADC96,chinese music,Wei Liang,0
SOSBYVZ12A6D4FBBF2,ARA7YDA1187B9A5776,country rock,I Cried All The Way To The Altar,1995
SODUMDU12AC468A22B,ARHOSMU1242078130D,digital hardcore,We're Skrewed (Otto Von Schirach My Supernatural Motorcycle Gang Will Knife U Open Piss & Shit All Over Your Organic Starbucks =iPhone Bank Account Lifeless Lifestyle Remix),0
SOKMICL12AC46894B9,AR47RVG1187B995CE7,progressive house,Living The Dream,2004
SOOJNDD12A6D4F99E5,ART4QZC1187FB51612,dance pop,Hold On Baby,1993
SOHYOKJ12AB018B902,ARV8LAR1187FB3DE2A,heavy metal,Judgement Day,2008
SOBZGTU12AC3DFB6E8,ARSZIBW1187B994053,instrumental pop,U North,2007
SOBTGBJ12A8C1393AB,ARN0DMU1187FB5B63A,pop rock,Everything Your Heart Desires,1988
SODDTOV12A6D4F9167,ARD8JVH1187FB4DA04,blues-rock,Valerie (LP Version),1986
SOWSNEN12A8AE479B6,ARJRF841187B9B7F9A,soundtrack,Main Title / The Searchers,0
SOANMOG12A8C13CDFA,ARJEPNS1187FB3DEF4,tech house,Prelude No. 2 (2000 Digital Remaster),0
SOSHOMP12A8C144BB1,ARPISA41187FB3DE42,blues-rock,Lonely No More,0
SOQANLU12A8C142FEF,AREDW1C1187B9ACAC2,bel canto,Donizetti: Roberto Devereux: Ah! Ritorna qual ti spero....,0
SOLIQUE12A58A78306,AR1RMYB1187FB5A59E,funk metal,Warning,2001
SOXEYLY12A8AE45DBD,ARS6I1U1187FB468F9,post-grunge,Shelter Your Needs,2005
SOUBCNK12AB017CA1C,AR6F6I21187FB5A3AA,underground rap,Limelighters (feat. Camp Lo) / Flunkadelic Interlude,2003
SOKTNOK12A8C1340BA,ARJRIM91187FB3EF9A,chill-out,Gnosis,2006
SOILEMF12CF530E512,AR9W3X91187FB3994C,soft rock,You Can't Hurry Love  (LP Version),0
SOHDIVC12A6D4F8DA7,ARIHUOK122988F22DD,batucada,Baile Da Pesada,0
SOJJAKJ12A6D4F951B,ARIZODP1187B9AD272,glam rock,Wildcat Days (1999 Digital Remaster),1994
SOXIQTE12AC468D65F,ARC3EZO1187B9B9314,hard rock,Tulip,0
SODWQBY12A8C13CAF3,AR2G8UI1187FB3F33C,country gospel,I'll Meet You In The Morning,0
SOOLNAT12AB0185FE3,AR573WK1187FB47167,trip hop,Crushed Pears,2007
SOIRBSI12A58A7A859,ARZQ7QA1187B9AD08B,dance rock,Escape ( LP Version),0
SOVEBOC12CF530D548,ARB054P1187B9AD32E,blues-rock,Let It Shine,0
SOSORMU12AAA15E6F2,AR87ZMN1187B99689C,latin jazz,Todos mentimos,0
SOPLZYS12A8AE48DE6,ARHPPJK1187B9AC897,power pop,The World'll Be OK,2003
SOJMZOQ12AB017ECA5,ARYCCQX122BCFCC4E4,post-grunge,Over Again (Album Version),0
SOPGPJM12AB0186FFA,ARHLYXD11F50C4B49E,oi,Never Fall,0
SOALLVR12A8C138417,ARGPFYP1187B98F5CB,folk-pop,Daughters & Sons,0
SOLIZTL12A8C13A809,ARJJ8I01187FB4CE98,chanson,En Un Pueblito EspaA+-ol,0
SOLNCHC12A6D4FA7AD,ARAH4TU1187FB51D28,future jazz,Slow Murder,0
SOPXTAX12A6D4F573B,AR2FAMK1187FB4CF60,post-hardcore,Summer Shudder,2006
SOBWLUW12AC468F17D,ARHMQHN1241B9C56C8,ghetto tech,Suk The Blood,0
SOWIXZS12A58A7AB35,ARJRQL51187FB541AB,tango,Fui Mujer,0
SOYWICF12A8C13BDD7,ARPKATM1187B9B76E6,hardcore punk,Beholder of Justice (Album Version),2003
SOUZSKM12A6D4FBFD2,AR1LQNB1187B9A6AE5,disco,Explorador,2005
SOXCVHC12AAFF429D7,ARLHEM01187B9AFF5B,salsa,Mi Suegra,0
SOIBTMP12AF729FC8F,ARA7EEC1187FB4C392,los angeles,Been Fighting Devilz,2009
SOYJPUH12AF72AB2C8,ARDDTL91187B9974A7,ccm,Unleashed,2006
SOJHLKF12A8AE47D4C,ARN03F71187FB4E3F4,neo soul,Welcome Into My World,2006
SOMEWJW12A8C13F04F,ARNEJAG1187FB41600,teen pop,Girls Against Boys (LP Version),1999
SOGACHN12AB0187ACA,ARJDWAF122ECCBD2C9,roots reggae,What is the best,0
SOEYVKP12AB017B847,AREJ5K11187B993F5F,chamber jazz,Canyon People (World),0
SOHKZZU12A8C1327EC,ARAZCWP129462A97F1,reggae,Corner Stone,1996
SOCRJDM12A8C139311,ART1R9I1187B9B3324,ccm,Cave It In,0
SOGHWUG12A6D4FB3D3,ARR322V1187FB4F9CB,pop rock,Sally Ann,0
SOXIWIH12AB018000D,ARJJKAA1187B9ADAF1,soundtrack,Bill's Speech - A New Kind of Warrior,0
SOBFRTX12AB018DE14,AR8J32V1187FB4F874,soundtrack,Villagers Galloping To Battle,0
SOWRNJI12AB018C5C6,ARZ3BA51187B998A3E,free jazz,Oooh_ Pooh,0
